Year,A,B,C,D,E
1980,372,334,884,,
1981,507,350,555,,
1982,739,526,744,,
1983,572,566,775,,
1984,613,574,1095,26,
1985,764,730,1018,431,
1986,539,293,508,1018,
1987,613,290,680,1461,
1988,738,783,1214,1272,
1989,600,528,1222,2427,
1990,1365,566,1343,3006,
1991,1185,947,1756,3641,3530
1992,1165,597,1280,4722,3606
1993,1177,1248,2113,5488,3257
1994,1368,1290,2068,5758,2535
1995,1540,1161,1917,4368,3475
1996,1611,1237,1816,7098,3678
1997,988,983,1495,1369,3787
1998,1096,888,1350,2411,3468
1999,1347,498,742,2478,3917
2000,1485,373,757,2449,3516
2001,2286,296,403,4985,3422
2002,2167,648,1167,3995,3919
2003,2189,645,982,7556,2731
2004,2394,520,803,5970,2284
2005,2211,597,961,5556,2183
2006,2564,426,868,5365,2933
2007,3400,528,843,1701,4237
2008,4047,515,902,1255,4213
2009,4322,476,968,1464,3837
2010,4033,264,889,1289,3716
2011,4601,172,703,1795,3600
2012,4676,116,399,1456,3708
2013,5709,104,352,2078,3679
2014,7192,89,309,2751,3693
2015,8174,131,353,862,3929